n_nodos R alpha CityArea
300 250 0 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 655981 3043 2842 67 0
1 572870 1049 1885 71 0
2 596240 1095 1846 26 0
3 2820333 1678 1870 60 0
4 960485 4565 3659 76 0
5 149285 2755 2682 68 0
6 2783169 2452 2631 49 0
7 2732004 2588 1925 23 0
8 2960825 2598 2543 79 0
9 1376338 87 1345 44 1
10 1833238 4013 2835 38 0
11 2072939 1919 1499 66 0
12 1265500 4433 3074 35 0
13 1650500 3755 2516 73 0
14 2795448 4521 3469 66 0
15 504866 2604 2758 40 0
16 2606195 2131 1586 31 0
17 1862173 4373 3086 39 0
18 3039979 241 1463 62 1
19 2268099 3766 2868 70 0
20 2882420 1867 1444 27 0
21 2328424 4625 3698 46 0
22 1195273 3708 2526 69 0
23 2164798 2756 2705 71 0
24 1813249 3163 2093 49 0
25 168888 821 1064 57 0
26 2017091 1655 2025 57 0
27 1843881 1945 1793 70 0
28 3312625 1001 1902 38 0
29 1544633 1492 1881 53 0
30 1399866 4164 3437 51 0
31 1182618 4704 3331 75 0
32 2503624 1178 1355 49 0
33 1679522 1162 1194 61 0
34 1796766 604 1190 21 1
35 2024379 2786 1938 54 0
36 1633599 371 1624 79 1
37 1282734 4537 2832 58 0
38 2472683 1498 1561 35 0
39 499662 2254 1833 35 0
40 1641813 1761 1749 72 0
41 589381 3579 2499 37 0
42 2852595 2393 2234 57 0
43 2941493 3321 2489 62 0
44 447368 4710 3089 28 0
45 2985476 1806 2369 59 0
46 840627 1648 1657 21 0
47 2509338 3756 2925 40 0
48 618939 1313 1407 75 0
49 2775308 4371 3027 22 0
50 3179674 3295 2249 66 0
51 3221580 640 1508 51 1
52 409341 1840 1832 52 0
53 573617 1486 1349 57 0
54 2934713 2673 2563 31 0
55 2418009 3302 2313 40 0
56 1566776 3606 2502 40 0
57 1430666 1839 2264 60 0
58 1193036 246 1194 70 1
59 1328721 1656 1565 43 0
60 3296397 1885 1933 70 0
61 3099043 2479 1764 59 0
62 2814099 2394 1993 78 0
63 1378097 3204 2751 52 0
64 1674219 1689 2123 67 0
65 2077772 2472 2433 47 0
66 1139264 380 1352 51 1
67 1594630 309 938 51 1
68 2922484 4003 3369 53 0
69 2954103 3929 3383 52 0
70 2931399 274 1039 33 1
71 2497526 548 1744 77 1
72 2225289 1073 1296 44 0
73 1064949 3975 2503 37 0
74 1391646 1177 1491 44 0
75 2869605 4282 3204 57 0
76 620430 3855 2966 33 0
77 738230 3661 2790 38 0
78 1088000 3572 2401 47 0
79 2075668 1917 1880 24 0
80 363095 4433 3667 45 0
81 628507 4064 2541 60 0
82 3200161 2696 2548 47 0
83 2694128 3973 2594 41 0
84 2173400 4894 3440 56 0
85 136703 2837 2749 37 0
86 328861 1278 2063 33 0
87 2379612 1117 1306 22 0
88 1007888 665 1715 49 1
89 1202531 3536 2603 64 0
