n_nodos R alpha CityArea
200 250 0 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 978432 4784 3337 69 0
1 1908805 4556 3263 22 0
2 3399080 716 1276 34 0
3 140036 1792 2072 78 0
4 1392378 4511 2896 75 0
5 200921 34 901 33 1
6 3080376 422 993 69 1
7 2611826 2001 2211 23 0
8 2118222 4670 3819 56 0
9 419232 4045 2794 74 0
10 3388541 4900 3164 54 0
11 1872569 2405 2098 64 0
12 1809961 3044 2624 33 0
13 1778932 3656 3136 63 0
14 2747720 2901 2127 38 0
15 3080358 2061 2173 57 0
16 3268652 1289 1701 21 0
17 1596731 2595 2255 57 0
18 558993 4877 3134 29 0
19 2240813 3437 2462 59 0
20 743079 2943 2161 26 0
21 3280275 72 832 56 1
22 1093513 1506 1874 52 0
23 3288447 2233 2020 65 0
24 2810416 2272 1723 74 0
25 1273499 269 1457 72 1
26 1792057 2501 2620 46 0
27 1639124 1431 1750 68 0
28 1975557 898 1067 61 0
29 250450 3446 3187 41 0
30 3276133 4188 3148 55 0
31 437302 3915 2804 53 0
32 3024161 4131 2807 77 0
33 384442 2772 1886 32 0
34 1422380 2147 1629 38 0
35 2988667 2287 2410 72 0
36 631908 2453 2533 24 0
37 655108 1775 1404 68 0
38 1615966 592 1704 57 0
39 2167277 2296 1800 48 0
40 2024061 4788 2943 24 0
41 2546977 2294 1753 56 0
42 3261370 3466 3040 57 0
43 1479969 3847 2569 26 0
44 1393019 999 1558 29 0
45 2196124 2374 2609 62 0
46 1967055 4260 3501 44 0
47 3368676 4609 2940 41 0
48 1510878 4444 3055 71 0
49 1799222 4058 2910 57 0
50 1954876 3099 2508 37 0
51 927184 2305 1761 55 0
52 1912332 554 1512 73 0
53 3341401 2427 2167 79 0
54 2972486 4027 2704 46 0
55 2652233 640 1523 47 0
56 846755 1197 1434 59 0
57 3346130 2228 2282 72 0
58 3488844 1333 1371 30 0
59 889869 94 1051 70 1
60 1971374 653 1200 74 0
61 687538 279 1133 62 1
62 2558831 187 711 46 1
63 3145958 298 756 33 1
64 1913591 4520 3724 51 0
65 2174336 529 994 50 1
66 2189560 1663 1372 53 0
67 3335907 4117 2571 52 0
68 381095 4875 3833 31 0
69 2569403 4365 3254 42 0
70 1848873 3788 3275 71 0
71 1401324 4926 3361 73 0
72 2010097 129 815 39 1
73 1646110 390 1285 25 1
74 146179 4728 3650 27 0
75 867579 2631 2664 56 0
76 2750084 4892 2959 31 0
77 1804031 4851 3654 30 0
78 3222676 3168 2840 70 0
79 1290899 1962 1686 58 0
80 1963528 404 1564 50 1
81 689785 4534 2943 57 0
82 3417052 3644 2698 32 0
83 3388285 162 869 62 1
84 3100036 2194 2182 73 0
85 279361 2554 2554 43 0
86 158351 3123 2274 20 0
