n_nodos R alpha CityArea
300 250 0 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 1631592 2272 1922 55 0
1 1741766 548 1059 23 1
2 3112762 2671 2383 35 0
3 1561382 3823 3333 78 0
4 3434907 3201 2772 53 0
5 1284199 669 955 26 0
6 2778250 3023 2661 35 0
7 3128143 1099 1935 57 0
8 2754046 4384 3230 25 0
9 394179 4839 3051 51 0
10 1931480 364 1171 31 1
11 879517 3120 3025 41 0
12 1293814 2128 2158 69 0
13 2505341 1425 1643 41 0
14 2293934 392 1374 37 1
15 2557521 1719 1389 44 0
16 300013 1037 1459 53 0
17 1297740 1075 1735 61 0
18 2745779 2329 2015 56 0
19 923853 3554 2393 27 0
20 2838406 236 1583 57 1
21 1293507 680 1156 52 0
22 359548 128 1485 70 1
23 1502105 4288 2781 59 0
24 2363293 366 1572 22 1
25 3258901 825 1705 79 0
26 1277328 4353 2693 64 0
27 1809201 3088 2915 32 0
28 253660 3371 2561 58 0
29 788390 973 1065 43 0
30 2532868 4100 2972 48 0
31 3066756 3153 2713 33 0
32 413006 2854 2543 42 0
33 905098 643 1548 35 1
34 947498 1959 1726 49 0
35 381231 4395 3377 38 0
36 2551585 565 1765 42 1
37 3222015 3289 2426 63 0
38 3461135 3299 3052 27 0
39 2995222 1469 2079 43 0
40 2328884 1317 1803 54 0
41 1491600 3539 3206 63 0
42 932511 3793 2768 47 0
43 2895858 2009 2201 34 0
44 196211 2221 2558 78 0
45 3365197 1429 1588 79 0
46 727157 4273 3593 48 0
47 660661 2944 2810 56 0
48 1946876 4420 2935 30 0
49 2223699 2062 1940 61 0
50 2829690 4760 3162 24 0
51 414856 2250 2503 27 0
52 982051 1502 1556 62 0
53 3316482 4635 3514 30 0
54 331518 96 634 77 1
55 1210239 2259 2422 44 0
56 155631 1588 1684 37 0
57 3358554 2053 1574 51 0
58 1278924 4696 2913 79 0
59 627925 4174 2996 37 0
60 2706868 1043 1840 28 0
61 769279 1688 1872 37 0
62 1763532 2092 2392 25 0
63 3035836 1273 1487 24 0
