n_nodos R alpha CityArea
300 250 0 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 1528039 3570 2527 76 0
1 882004 4650 3790 25 0
2 2475206 1204 1151 54 0
3 3041165 2482 2724 43 0
4 1675802 4116 3023 44 0
5 559439 1228 1646 37 0
6 705951 1890 1996 75 0
7 832540 1488 1813 79 0
8 3153945 3270 2465 39 0
9 2101228 4140 3253 77 0
10 1656417 1815 1729 52 0
11 3169890 3576 2568 36 0
12 624937 3270 2958 54 0
13 3181226 2855 2045 53 0
14 1937919 2406 2559 32 0
15 3447467 3677 3178 32 0
16 2525230 1119 1305 35 0
17 2566724 2853 2589 32 0
18 3482003 380 1388 22 1
19 2467267 640 1187 78 1
20 347467 404 1482 73 1
21 1853951 2102 2474 20 0
22 1898848 3916 3134 28 0
23 2791221 1660 1449 62 0
24 3479556 2640 2458 37 0
25 3404376 4230 3549 78 0
26 770215 1700 1457 65 0
27 801344 2348 2322 58 0
28 1751221 4998 3675 51 0
29 2469213 3405 2259 55 0
30 1677957 4261 3176 24 0
31 1315841 4546 3621 21 0
32 1375081 2094 1897 40 0
33 2405498 551 1060 60 1
34 178631 3192 2111 46 0
35 554564 1958 2349 67 0
36 2459426 4391 3053 62 0
37 1148547 144 1299 46 1
38 3016238 688 1724 35 1
39 3107347 3742 3216 71 0
40 1805425 2478 1844 50 0
41 1781175 2019 2064 35 0
42 3267761 4343 3196 28 0
43 2103296 3948 2836 67 0
44 763806 2113 2083 72 0
45 1581835 358 1458 55 1
46 2538730 4932 3461 48 0
47 1879616 4533 2924 26 0
48 2857092 3851 2710 60 0
49 442250 351 710 55 1
50 1189068 3488 3159 73 0
51 3100140 3546 2599 30 0
52 3142898 1819 2281 64 0
53 853918 501 1483 49 1
54 2686131 3591 2952 55 0
55 182352 113 714 47 1
56 2866276 3451 2665 51 0
57 1913476 4286 3623 40 0
58 1133653 3232 2631 60 0
59 261100 3246 2977 27 0
60 1702450 2299 2028 77 0
61 2461606 3103 2437 52 0
62 161678 4787 3022 60 0
63 816729 91 878 76 1
64 2529876 1281 1733 26 0
65 3175916 3358 2230 54 0
66 2312688 3387 2896 76 0
67 3335154 4672 3479 32 0
68 927769 2049 2227 66 0
69 2556765 4475 2999 52 0
70 1369591 2346 2480 21 0
71 2039048 4234 2846 37 0
72 2813177 207 1271 24 1
73 379985 3965 2567 62 0
74 2894330 3177 2770 69 0
75 1967479 4493 3268 62 0
76 2744032 1255 1442 28 0
77 690402 1010 1510 45 0
78 328971 211 1290 32 1
79 2377675 2504 2639 66 0
80 2752554 783 1582 50 0
81 2502326 3292 2485 28 0
82 2991740 156 1293 66 1
83 1466664 4796 3761 47 0
84 2268386 3000 2385 23 0
85 2039654 1735 1917 48 0
86 1864910 3227 2644 73 0
87 944396 3364 2887 45 0
88 3276525 2005 1687 52 0
89 2901107 2933 2524 44 0
90 1255695 827 1557 35 0
91 724339 1413 2037 31 0
92 2772200 1490 1606 58 0
93 452807 3170 2625 20 0
94 2644370 2544 2749 74 0
95 3307383 879 1330 49 0
96 1655368 466 834 54 1
97 2387006 1967 2377 70 0
98 3044469 1728 1742 73 0
99 3380665 1078 1839 24 0
100 2951299 4064 2646 53 0
101 145097 2524 2588 62 0
102 1192344 2332 1879 32 0
103 1666463 4606 3790 48 0
104 2250285 937 1261 50 0
105 2776417 135 610 26 1
106 882282 1441 1782 26 0
107 1935483 4480 3655 61 0
108 1825859 3838 3068 55 0
109 927515 4828 2967 67 0
110 2205167 1641 2149 44 0
111 620333 3374 2269 44 0
112 1806028 3529 2653 74 0
113 1754791 2077 2472 43 0
114 2180649 3460 2234 49 0
115 2543850 2068 1554 78 0
116 186782 4732 3349 54 0
117 1319540 3319 3067 41 0
118 2933145 1813 1548 62 0
119 3411027 1050 1098 56 0
120 585152 3300 2300 59 0
121 3238141 2397 1718 70 0
122 3018105 4550 3768 26 0
123 912639 2873 2293 40 0
124 2956018 4084 2632 67 0
125 2162935 2422 1905 34 0
126 232642 1408 2058 40 0
127 2890914 2872 2323 79 0
128 279429 1620 1782 35 0
129 776509 2972 2472 48 0
130 1685564 4243 3214 75 0
131 328627 3424 3195 68 0
132 1291633 536 1555 49 1
133 2276684 2352 1773 24 0
134 1393507 2948 2586 26 0
135 1337199 2360 2321 22 0
136 3177269 2770 2801 79 0
137 473022 3948 3279 21 0
138 1097028 2165 2397 20 0
139 1053308 4209 3237 31 0
140 1650971 2110 2265 23 0
141 661860 2425 2522 47 0
142 2667499 3544 2922 63 0
143 614783 4538 3075 54 0
144 596206 136 1207 50 1
145 605120 3801 2409 27 0
146 1812136 3023 2392 44 0
147 1626947 649 1199 61 1
148 2056101 3676 2456 54 0
149 1896118 4409 2800 55 0
150 634648 717 1384 27 1
151 1996444 2682 2662 39 0
152 1891061 3950 3444 44 0
153 2407401 253 1592 36 1
154 1613020 1399 1803 63 0
155 2565842 2852 2709 41 0
156 3082319 23 762 52 1
157 2498990 130 1126 65 1
158 1727488 4689 3670 22 0
159 1652263 1586 1553 29 0
160 2359509 4900 3623 75 0
161 639100 3543 3076 57 0
162 1036926 2775 2120 46 0
163 3380203 167 945 63 1
164 2305753 1796 2324 37 0
165 1029147 2346 2606 50 0
166 1146853 1230 1199 53 0
167 2326331 670 1399 33 1
168 1568166 3576 2370 66 0
169 2257142 3184 2157 60 0
170 1770824 2789 2766 47 0
171 2493708 1411 1551 47 0
172 2251406 1869 2312 47 0
173 3119432 84 674 73 1
174 2485598 3947 2492 26 0
175 113620 2313 2291 27 0
176 3435887 3409 3121 58 0
177 1450420 2111 1928 60 0
178 2162844 3703 3324 27 0
179 1196461 628 1550 50 1
180 2961020 3941 2828 73 0
181 1791537 3734 2940 46 0
182 3190140 917 1474 38 0
183 420080 1811 1933 79 0
184 3298111 704 1815 29 1
185 1327409 2494 2205 20 0
186 1782066 2800 1973 79 0
187 715429 4323 3351 51 0
188 1101690 1361 1997 58 0
189 1083800 904 1411 20 0
190 2335160 4346 3337 56 0
191 1331684 3372 2264 70 0
192 3135919 688 1803 41 1
193 728041 1010 1935 33 0
194 1146959 3348 2206 44 0
195 2157202 2161 2549 47 0
196 1824524 2384 2494 66 0
197 285035 3075 2146 70 0
198 2534829 3913 3104 35 0
199 2408327 132 1148 46 1
200 1400856 1111 1655 60 0
201 327667 2463 2082 42 0
202 3247371 261 670 48 1
203 489001 4548 3359 60 0
204 1845621 3675 2580 70 0
205 2211455 4721 3076 23 0
206 3014539 4081 3516 70 0
207 1856390 1705 2082 59 0
208 310298 3616 3088 30 0
209 2450560 638 873 77 1
210 643689 748 1067 25 0
211 1469291 4520 3527 74 0
212 1579060 3108 2542 62 0
213 2868704 293 820 60 1
214 1733050 4924 3820 61 0
215 1377973 3975 2901 27 0
216 2679558 1121 1133 23 0
217 421894 654 1214 20 1
218 1563326 1215 1856 78 0
219 1015216 1177 1102 49 0
220 1198477 1935 2158 62 0
221 1233905 4908 3362 22 0
222 790982 3621 3159 70 0
223 3289053 3111 2293 35 0
224 1668800 641 837 21 1
225 2537814 4265 3449 65 0
226 146265 323 1283 33 1
227 2761432 1187 1824 36 0
228 215046 1755 1855 39 0
229 1227456 295 730 36 1
230 1758021 2517 2203 79 0
231 248640 3924 2782 35 0
232 367371 498 1705 43 1
233 1888646 1123 1320 61 0
234 1923181 466 1201 42 1
235 3458065 743 1526 27 0
236 2711868 4339 3547 54 0
237 3356739 4714 3855 65 0
238 3096502 4563 2852 64 0
239 645374 4607 2976 61 0
240 3115966 3525 2878 40 0
241 2156681 4056 3029 58 0
242 900053 1165 1497 71 0
243 3012131 3241 2505 76 0
244 1835635 707 1300 78 1
245 2834740 552 1188 55 1
246 1828215 3358 2292 23 0
247 3416545 3799 2993 37 0
248 3478785 4214 3411 25 0
249 1654519 1814 1474 58 0
250 2217622 2551 2090 59 0
251 2796255 4559 3239 30 0
252 1899318 3243 2817 36 0
253 2384454 1594 1638 24 0
254 1839304 4645 3557 39 0
255 655140 2014 2362 60 0
256 955557 1436 2098 35 0
257 1227219 1942 2148 42 0
258 3398153 868 1390 70 0
259 2281070 2380 1715 62 0
260 1574083 4807 3205 58 0
261 2015705 1044 1158 73 0
262 398564 4637 2897 42 0
263 3179012 216 910 23 1
