n_nodos R alpha CityArea
200 250 0 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 337869 2142 2420 48 0
1 2472993 1235 1807 68 0
2 1311804 3946 3127 64 0
3 3078621 4317 2928 20 0
4 983683 4768 2991 22 0
5 2101954 624 1426 60 1
6 1302115 2553 1962 20 0
7 100242 434 1293 42 1
8 996289 2719 1879 68 0
9 2761523 2500 2114 31 0
10 418275 4371 2899 56 0
11 1751127 3824 3168 22 0
12 2569532 1906 2306 62 0
13 1909652 1346 1611 40 0
14 1114219 2736 2512 78 0
15 1952565 4111 3361 43 0
16 3305173 4308 3320 44 0
17 2583657 3852 2643 37 0
18 2339512 4373 3137 49 0
19 1532842 2315 2331 44 0
20 903439 3993 3270 24 0
21 1785314 3604 3008 50 0
22 2942689 2987 2399 41 0
23 1533768 1168 1731 52 0
24 547899 2673 2483 59 0
25 1706465 640 1027 50 1
26 2616576 4461 3642 27 0
27 459926 4789 3074 20 0
28 673886 1578 1719 73 0
29 3046361 4592 3340 32 0
30 246330 2430 1909 53 0
31 1073569 4824 3456 24 0
32 3367881 309 1260 36 1
33 835473 850 1025 61 0
34 1781351 3913 3112 23 0
35 282767 1253 1598 40 0
36 1475085 3966 2582 45 0
37 2438431 4600 3543 71 0
38 2438224 1372 2141 57 0
39 509911 2693 2126 45 0
40 2414037 1202 1639 53 0
41 3326752 2803 2361 71 0
42 1331585 1906 2308 69 0
43 497105 3694 2604 74 0
44 1768810 2832 2532 33 0
45 3171622 2212 2460 40 0
46 217047 4467 3046 75 0
47 3476096 3260 2323 60 0
48 3160373 423 1614 29 1
49 3211363 76 853 51 1
50 2852830 554 1274 23 1
51 1326286 3203 3076 62 0
52 1075817 3958 2577 70 0
53 546408 2388 2514 77 0
54 2333058 2392 1900 40 0
55 2903974 901 1382 32 0
56 149693 1895 1975 26 0
57 1243638 2560 2306 62 0
58 2246126 1770 1717 47 0
59 1296846 1661 1713 30 0
60 757821 530 836 25 1
61 474068 2160 2493 34 0
62 2175424 3940 3207 34 0
63 2619129 2141 2347 44 0
64 680795 215 1346 68 1
65 1931420 4049 3454 61 0
66 2848641 2462 2422 52 0
67 3089676 2146 2380 73 0
68 1069595 2551 2599 28 0
69 360984 242 938 26 1
70 2999914 3321 2534 73 0
71 424115 16 839 51 1
72 1062314 2488 2658 21 0
73 379907 1462 1656 74 0
74 2702029 3534 2418 57 0
75 3058937 4406 2983 51 0
76 1978099 3218 2712 79 0
77 2009624 2226 2014 34 0
78 2234883 4612 3348 50 0
79 754050 522 971 36 1
80 1391472 4349 3613 79 0
81 3048011 3702 2424 58 0
82 307899 4321 3610 43 0
83 1618015 3169 2326 49 0
84 1939422 4262 2933 24 0
85 1378880 403 755 54 1
86 2918427 2825 2203 28 0
87 608369 2939 2199 71 0
88 2537505 1292 1788 26 0
89 1957128 62 732 27 1
90 3062535 2705 2169 42 0
91 2538392 3511 2389 77 0
92 2784912 1897 1760 28 0
93 3426668 3471 3160 64 0
94 1927107 4190 3517 49 0
95 392737 2007 1852 35 0
96 484412 2113 1566 67 0
97 294348 4131 3098 28 0
98 406692 4798 3805 55 0
99 813509 1039 1137 39 0
100 2711064 2089 2370 61 0
101 1799725 214 653 79 1
102 1566430 4711 3274 41 0
103 1205781 2139 1822 41 0
104 1467074 2184 2378 75 0
105 2077887 2227 1643 67 0
106 2353947 3941 2875 37 0
107 2993449 1736 1472 50 0
108 980242 3591 2931 64 0
109 2514149 4764 3515 53 0
110 330913 539 864 74 1
111 1148202 3704 2505 53 0
112 380079 4089 2726 43 0
113 1741563 968 1981 23 0
114 3222705 499 890 39 1
115 2682034 2625 2399 46 0
116 864447 330 856 53 1
117 386932 3099 2155 62 0
118 1656891 2513 2074 44 0
119 2871452 3015 2871 53 0
120 2822421 2061 1810 42 0
121 1744318 2012 2351 75 0
122 2053815 3707 3260 30 0
123 817508 1075 1494 63 0
124 1787168 962 1516 42 0
125 3244255 2036 1961 53 0
126 1242105 1448 2052 41 0
127 2187623 1453 1813 60 0
128 2869745 125 875 26 1
129 2618254 321 1488 36 1
130 1246449 2973 2412 22 0
131 1474265 4950 2975 27 0
132 2083676 3359 2521 75 0
133 306802 2128 2184 67 0
134 1186716 4775 3375 20 0
135 711056 115 675 26 1
136 1170924 3409 2565 25 0
137 3340885 4772 3050 71 0
138 368236 2535 1991 40 0
139 503787 998 1330 74 0
140 2209076 4377 2856 37 0
141 1542231 4174 2869 60 0
142 2285887 2351 1815 22 0
143 1963913 4602 3327 20 0
144 1303235 95 1248 26 1
145 3314639 4552 3214 35 0
146 166550 1799 1564 43 0
147 3006176 4289 3488 27 0
148 359132 3457 3006 66 0
149 673718 1287 2021 63 0
150 3470086 2333 2370 37 0
151 511367 3606 2341 49 0
152 2092097 2501 2486 68 0
153 2262571 2773 2477 47 0
154 2817488 1831 1556 33 0
155 1072842 2906 2637 74 0
156 2724670 2722 2748 75 0
157 2297171 4914 3320 21 0
158 3175035 4892 3737 74 0
159 641754 4072 2826 58 0
160 1040167 52 722 33 1
161 2365810 3670 2624 49 0
162 2200763 3010 2540 62 0
163 3185343 1323 1969 37 0
164 1222631 91 972 32 1
165 3212463 779 1086 46 0
166 632029 2873 2673 45 0
167 1713774 3781 3358 71 0
168 3199363 2647 1940 74 0
169 2490124 737 1778 53 1
170 1201393 2516 2757 59 0
171 120921 4433 3359 78 0
172 973422 1182 1571 60 0
173 2104389 126 956 76 1
174 776626 970 1683 67 0
175 491144 295 1261 38 1
176 3391792 2568 2505 20 0
177 2863248 1589 1882 79 0
178 1539387 2526 2195 28 0
179 2566464 1091 1202 27 0
180 2135085 4685 3240 37 0
181 674192 1065 2027 59 0
182 804725 4756 3370 26 0
183 777987 504 935 36 1
184 3094240 4642 3567 72 0
185 1058998 463 874 68 1
186 3335242 3611 2602 36 0
187 2489802 4885 3205 33 0
188 3130875 18 735 67 1
189 1178480 3085 2637 47 0
190 2742340 1936 1598 45 0
191 1478896 4959 3315 70 0
192 2064958 984 1968 67 0
193 1952057 4037 3277 64 0
194 759910 1039 1339 46 0
195 793593 3681 2489 34 0
196 1731250 1087 1861 63 0
197 762533 4969 2994 61 0
198 1102205 4812 2938 29 0
199 2960885 4308 3612 79 0
Matriz_Distancias
